a,##
callus,k{l@s
calm,k#m
calomel,k{l5mEl
calorie,k{l@rI
calumny,k{l@mnI
calypso,k@lIps5
calyx,k1lIks
cam,k{m
camber,k{mb@
cambric,k1mbrIk
camel,k{m@l
camellia,k@milj@
cameo,k{mI5
camera,k{m@r@
camisole,k{mIs5l
camomile,k{m5m2l
camouflage,k{m@fl#Z
camp,k{mp
campaign,k{mp1n
campanula,k@mp{njUl@
camphor,k{mf@
campion,k{mpj@n
campus,k{mp@s
can,k{n
canal,k@n{l
canary,k@n8rI
canasta,k@n{st@
cancel,k{ns@l
cancer,k{ns@
candela,k{ndEl@
candelabra,k{ndIl#br@
candescent,k{ndEs@nt
candid,k{ndId
candidate,k{ndId@t
candle,k{nd@l
candy,k{ndI
cane,k1n
canine,k1n2n
canister,k{nIst@
canker,k{Nk@
canna,k{n@
cannabis,k{n@bIs
cannibal,k{nIb@l
cannon,k{n@n
canny,k{nI
canoe,k@nu
canon,k{n@n
canoodle,k@nud@l
canopy,k{n@pI
cant,k#nt
cantaloup,k{nt@lup
cantankerous,k{nt{Nk@r@s
canteen,k{ntin
canter,k{nt@
canticle,k{ntIk@l
cantilever,k{ntIliv@
canto,k{nt5
canton,k{ntQn
cantor,k{nt$
canvas,k{nv@s
canvass,k{nv@s
canyon,k{nj@n
cap,k{p
capable,k1p@b@l
capacious,k@p1S@s
cape,k1p
caper,k1p@
capillary,k@pIl@rI
capital,k{pIt@l
capitulate,k@pIJUl1t
capon,k1p@n
caprice,k@pris
capsicum,k{psIk@m
capsize,k{ps2z
capstan,k{pst@n
capsule,k{psjul
captain,k{ptIn
caption,k{pS@n
captious,k{pS@s
captive,k{ptIv
captor,k{pt@
capture,k{pJ@
car,k#
carafe,k@r{f
caramel,k{r@mEl
carapace,k{r@p1s
carat,k{r@t
caravan,k{r@v{n
caravansary,k{r@v{ns@rI
caravanserai,k{r@v{ns@r2
caraway,k{r@w1
carbide,k#b2d
carbine,k#b2n
carbolic,k#bQlIk
carbon,k#b@n
carboy,k#b4
carbuncle,k#bVNk@l
carburet,k#bjUrEt
carcass,k#k@s
carcinoma,k#sIn5m@
card,k#d
cardamom,k#d@m@m
cardiac,k#dI{k
cardigan,k#dIg@n
cardinal,k#dIn@l
care,k8
careen,k@rin
career,k@r7
caress,k@rEs
caret,k{r@t
cargo,k#g5
caribou,k{rIbu
caricature,k{rIk@tj9
caries,k8riz
carillon,k{rIlj@n
carmine,k#m2n
carnage,k#nI_
carnal,k#n@l
carnation,k#n1S@n
carnelian,k@nilj@n
carnival,k#nIv@l
carob,k{r@b
carol,k{r@l
carotid,k@rQtId
carouse,k@r6z
carousel,k{r@sEl
carp,k#p
carpal,k#p@l
carpenter,k#p@nt@
carpet,k#pIt
carpus,k#p@s
carrion,k{r7n
carrot,k{r@t
carry,k{rI
cart,k#t
cartel,k#tEl
cartilage,k#tIlI_
carton,k#t@n
cartoon,k#tun
cartridge,k#trI_
carve,k#v
caryatid,k{rI{tId
cascade,k{sk1d
cascara,k{sk#r@
case,k1s
casein,k1sin
caseous,k1s7s
cash,k{S
cashew,k{Su
cashier,k@S7
cashmere,k{Sm7
casino,k@sin5
cask,k#sk
casket,k#skIt
casque,k{sk
cassava,k@s#v@
casserole,k{s@r5l
cassette,k@sEt
cassock,k{s@k
cassowary,k{s@w8rI
cast,k#st
castanets,k{st@nEts
caste,k#st
castigate,k{stIg1t
castle,k#s@l
castrate,k{str1t
casual,k{Z9l
casuist,k{zjUIst
cat,k{t
cataclysm,k{t@klIz@m
catacomb,k{t@kum
catafalque,k{t@f{lk
catalepsy,k{t@lEpsI
catalogue,k{t@lQg
catalpa,k@t{lp@
catalysis,k@t{l@sIs
catalyst,k{t@lIst
catamaran,k{t@m@r{n
catapult,k{t@pVlt
cataract,k{t@r{kt
catarrh,k@t#
catastrophe,k@t{str@fI
catatonia,k{t@t5n7
catch,k{J
catchup,k{JVp
catechism,k{t@kIz@m
category,k{t@g@rI
cater,k1t@
caterpillar,k{t@pIl@
caterwaul,k{t@w$l
catharsis,k@T#sIs
cathedral,k@Tidr@l
catheter,k{TIt@
cathode,k{T5d
catholic,k{T@lIk
catkin,k{tkIn
catsup,k{ts@p
cattle,k{t@l
caucus,k$k@s
caudal,k$d@l
caul,k$l
cauldron,k$ldr@n
cause,kQz
caustic,k$stIk
cautery,k$t@rI
caution,k$S@n
cavalcade,k{v@lk1d
cavalier,k{v@l7
cave,k1v
caveat,k{vI{t
cavern,k{v@n
caviar,k{vI#
cavil,k{v@l
cavort,k@v$t
caw,k$
cayenne,k1En
cease,sis
cedar,sid@
cede,sid
cedilla,sIdIl@
ceiling,silIN
celandine,sEl@nd2n
celebrate,sElIbr1t
celebrity,sIlEbr@tI
celerity,sIlEr@tI
celery,sEl@rI
celestial,sIlEstj@l
celibate,sElIb@t
cell,sEl
cellar,sEl@
cello,JEl5
cellophane,sEl5f1n
cellulose,sEljUl5s
cement,sImEnt
cemetery,sEmItrI
cenotaph,sEn5t#f
censor,sEns@
census,sEns@s
cent,sEnt
centaur,sEnt$
centavo,sEnt#v5
centenary,sEntin@rI
centre,sEnt@
centripetal,sEntrIpIt@l
centurion,sEntj9r7n
cephalic,kEf{lIk
ceramic,sIr{mIk
cereal,s7r7l
cerebellum,sErIbEl@m
cerebrum,sErIbr@m
ceremony,sErIm@nI
cerise,s@riz
cert,s3t
certain,s3t@n
certitude,s3tItjud
cerulean,sIrulj@n
cervix,s3vIks
cessation,sEs1S@n
cession,sES@n
cesspit,sEspIt
cesspool,sEspul
cetacean,sIt1Sj@n
chaconne,S@kQn
chafe,J1f
chafer,J1f@
chaff,J#f
chagrin,S{grIn
chain,J1n
chair,J8
chaise,S1z
chalet,S{l1
chalice,J{lIs
chalk,J$k
challenge,J{lIn_
chamber,J1mb@
chameleon,k@milj@n
champ,J{mp
champagne,S{mp1n
champaign,J{mp1n
champion,J{mpj@n
chance,J#ns
chancel,J#ns@l
chancellor,J#ns@l@
chancery,J#ns@rI
chandelier,S{nd@l7
chandler,J#ndl@
change,J1n_
channel,J{n@l
chant,J#nt
chanterelle,J{nt@rEl
chaos,k1Qs
chap,J{p
chapel,J{p@l
chaperon,S{p@r5n
chaplain,J{plIn
chaplet,J{plIt
chapter,J{pt@
char,J#
character,k{r@kt@
charade,S@r#d
chard,J#d
charge,J#_
chariot,J{r7t
charisma,k@rIzm@
charity,J{r@tI
charivari,S#rIv#rI
charlatan,S#l@t@n
charlock,J#lQk
charlotte,S#l@t
charm,J#m
chart,J#t
charter,J#t@
chary,J8rI
chase,J1s
chasm,k{z@m
chassis,S{sI
chaste,J1st
chasuble,J{zjUb@l
chat,J{t
chattel,J{t@l
chauvinism,S5vInIz@m
chaw,J$
cheap,Jip
cheat,Jit
check,JEk
cheddar,JEd@
cheek,Jik
cheep,Jip
cheer,J7
cheese,Jiz
cheetah,Jit@
chef,SEf
chemical,kEmIk@l
chemist,kEmIst
cheque,JEk
chequer,JEk@
cherish,JErIS
cheroot,S@rut
cherry,JErI
cherub,JEr@b
chervil,J3vIl
chess,JEs
chest,JEst
chevalier,SEv@l7
chevron,SEvr@n
chew,Ju
chi,k2
chic,Sik
chicane,SIk1n
chichi,SiSi
chick,JIk
chicken,JIkIn
chicle,JIk@l
chicory,JIk@rI
chide,J2d
chief,Jif
chieftain,Jift@n
chiffon,SIfQn
chigger,JIg@
chigoe,JIg5
chihuahua,JIw#w@
chilblain,JIlbl1n
child,J2ld
chill,JIl
chilli,JIlI
chime,J2m
chimera,k2m7r@
chimney,JImnI
chimp,JImp
chimpanzee,JImp@nzi
chin,JIn
china,J2n@
chinchilla,JInJIl@
chine,J2n
chink,JINk
chinook,JInUk
chintz,JInts
chip,JIp
chipmunk,JIpmVNk
chiromancy,k2@r5m{nsI
chiropody,kIrQp@dI
chiropractic,k2r5pr{ktIk
chirp,J3p
chirrup,JIr@p
chisel,JIz@l
chit,JIt
chivalry,SIv@lrI
chive,J2v
chivy,JIvI
chlorine,kl$rin
chock,JQk
chocolate,JQk@l@t
choice,J4s
choir,kw2@
choke,J5k
choky,J5kI
choler,kQl@
cholera,kQl@r@
choleric,kQl@rIk
cholesterol,k@lEst@rQl
chomp,JQmp
choose,Juz
chop,JQp
chorale,kQr#l
chord,k$d
chore,J$
chortle,J$t@l
chorus,k$r@s
chow,J6
chowder,J6d@
christen,krIs@n
chromatic,kr5m{tIk
chrome,kr5m
chromosome,kr5m@s5m
chronic,krQnIk
chronicle,krQnIk@l
chrysalis,krIs@lIs
chrysanthemum,krIs{nT@m@m
chub,JVb
chubby,JVbI
chuck,JVk
chuckle,JVk@l
chug,JVg
chukka,JVk@
chum,JVm
chump,JVmp
chunk,JVNk
church,J3J
churl,J3l
churn,J3n
chute,Sut
chutney,JVtnI
cicada,sIk#d@
cicala,sIk#l@
cicatrice,sIk@trIs
cicatrix,sIk@trIks
cicerone,JIJ@r5nI
cider,s2d@
cigar,sIg#
cinch,sInJ
cinchona,sINk5n@
cincture,sINkJ@
cinder,sInd@
cinema,sIn@m@
cinnamon,sIn@m@n
cinquefoil,sINkf4l
cipher,s2f@
circa,s3k@
circadian,s3k1d7n
circle,s3k@l
circuit,s3kIt
circulate,s3kjUl1t
circumcise,s3k@ms2z
circumference,s@kVmf@r@ns
circumstance,s3k@mst@ns
circus,s3k@s
cirque,s3k
cirrhosis,sIr5sIs
cirrus,sIr@s
cistern,sIst@n
citadel,sIt@d@l
cite,s2t
citizen,sItIz@n
citron,sItr@n
citrus,sItr@s
city,sItI
civet,sIvIt
civic,sIvIk
civil,sIv@l
civvies,sIvIz
clack,kl{k
clad,kl{d
claim,kl1m
clairvoyant,kl8v4@nt
clam,kl{m
clamber,kl{mb@
clamour,kl{m@
clamp,kl{mp
clan,kl{n
clandestine,kl{ndEstIn
clang,kl{N
clank,kl{Nk
clap,kl{p
claque,kl{k
claret,kl{r@t
clarinet,kl{r@nEt
clarion,kl{r7n
clarts,kl#ts
clash,kl{S
clasp,kl#sp
class,kl#s
clatter,kl{t@
clause,kl$z
clavichord,kl{vIk$d
clavicle,kl{vIk@l
claw,kl$
clay,kl1
claymore,kl1m$
clean,klin
cleanse,klEnz
clear,kl7
cleat,klit
cleave,kliv
clef,klEf
clematis,klEm@tIs
clement,klEm@nt
clench,klEnJ
clergy,kl3_I
cleric,klErIk
clerihew,klErIhju
clerk,kl#k
clever,klEv@
clew,klu
cliche,kliS1
click,klIk
client,kl2@nt
clientele,kli@ntEl
cliff,klIf
climate,kl2mIt
climax,kl2m{ks
climb,kl2m
clime,kl2m
clinch,klInJ
cline,kl2n
cling,klIN
clinic,klInIk
clink,klINk
clip,klIp
clique,klik
clitoris,klIt@rIs
cloak,kl5k
clobber,klQb@
cloche,klQS
clock,klQk
clod,klQd
clog,klQg
cloister,kl4st@
clone,kl5n
clop,klQp
close,kl5s
clot,klQt
cloth,klQT
cloture,kl5J@
cloud,kl6d
clout,kl6t
clove,kl5v
clover,kl5v@
clown,kl6n
cloy,kl4
club,klVb
cluck,klVk
clue,klu
clump,klVmp
clumsy,klVmzI
clunk,klVNk
cluster,klVst@
clutch,klVJ
clutter,klVt@
coach,k5J
coadjutor,k5{_Ut@
coagulate,k5{gjUl1t
coal,si51El
coalesce,k5@lEs
coalition,k5@lIS@n
coaming,k5mIN
coarse,k$s
coast,k5st
coat,k5t
coax,k5ks
cob,kQb
cobalt,k5b$lt
cobber,kQb@
cobble,kQb@l
cobra,k5br@
coca,k5k@
coccyx,kQksIks
cochineal,kQJInil
cochlea,kQkl7
cock,kQk
cockatoo,kQk@tu
cocker,kQk@
cockle,kQk@l
cockney,kQknI
coco,k5k5
cocoa,k5k5
cocoon,k@kun
cod,kQd
coda,k5d@
coddle,kQd@l
code,k5d
codeine,k5din
codex,k5dEks
codger,kQ_@
codicil,kQdIsIl
codlin,kQdlIn
codling,kQdlIN
codswallop,kQdzwQl@p
coefficient,k5IfIS@nt
coelacanth,sil@k{nT
coerce,k53s
coeval,k5iv@l
coffee,kQfI
coffer,kQf@
coffin,kQfIn
cog,kQg
cogent,k5_@nt
cogitate,kQ_It1t
cognac,kQnj{k
cognate,kQgn1t
cognition,kQgnIS@n
cognize,kQgn2z
cognomen,kQgn5mEn
cognoscenti,kQnj5SEnti
cohere,k5h7
cohort,k5h$t
coif,k4f
coign,k4n
coil,k4l
coin,k4n
coincide,k5Ins2d
coir,k4@
coition,k5IS@n
coitus,k5It@s
coke,k5k
col,kQl
cola,k5l@
colander,kVl@nd@
cold,k5ld
coley,k5lI
colic,kQlIk
collar,kQl@
collate,k@l1t
colleague,kQlig
collect,k@lEkt
colleen,kQlin
college,kQlI_
collide,k@l2d
collie,kQlI
colloquy,kQl@kwI
collude,k@lud
colon,k5l@n
colonel,k3n@l
colony,kQl@nI
colossal,k@lQs@l
colossus,k@lQs@s
colostrum,k@lQstr@m
colour,kVl@
colt,k5lt
columbine,kQl@mb2n
column,kQl@m
coma,k5m@
comatose,k5m@t5s
comb,k5m
combat,kQmb{t
combine,k@mb2n
combo,kQmb5
combust,k@mbVst
come,kVm
comedy,kQm@dI
comely,kVmlI
comestible,k@mEstIb@l
comet,kQmIt
comfit,kVmfIt
comfort,kVmf@t
comfrey,kVmfrI
comic,kQmIk
comity,kQmItI
comma,kQm@
command,k@m#nd
commandeer,kQm@nd7
commando,k@m#nd5
commemorate,k@mEm@r1t
commence,k@mEns
commend,k@mEnd
commensurate,k@mEnS@r@t
comment,kQmEnt
commerce,kQm3s
commination,kQmIn1S@n
commissar,kQmIs#
commissariat,kQmIs8r7t
commit,k@mIt
commode,k@m5d
commodious,k@m5dj@s
commodity,k@mQd@tI
commodore,kQm@d$
common,kQm@n
commune,k@mjun
communicate,k@mjunIk1t
commutate,kQmjut1t
commute,k@mjut
compact,k@mp{kt
companion,k@mp{nj@n
company,kVmp@nI
compare,k@mp8
compartment,k@mp#tm@nt
compass,kVmp@s
compatible,k@mp{t@b@l
compel,k@mpEl
compendium,k@mpEnd7m
compensate,kQmpEns1t
compere,kQmp8
compete,k@mpit
compile,k@mp2l
complacent,k@mpl1s@nt
complain,k@mpl1n
complaisant,k@mpl1z@nt
complement,kQmplImEnt
complete,k@mplit
complex,kQmplEks
complexion,k@mplEkS@n
complicate,kQmplIk1t
complicity,k@mplIs@tI
compliment,kQmplImEnt
compline,kQmplIn
comply,k@mpl2
component,k@mp5n@nt
comport,k@mp$t
compose,k@mp5z
compost,kQmpQst
compote,kQmpQt
compound,k@mp6nd
comprehend,kQmprIhEnd
comprise,k@mpr2z
compromise,kQmpr@m2z
comptometer,kQmptQmIt@
compunction,k@mpVNkS@n
compute,k@mpjut
comrade,kQmr1d
con,kQn
concatenate,k@nk{tIn1t
conceal,k@nsil
concede,k@nsid
conceit,k@nsit
conceive,k@nsiv
concentrate,kQns@ntr1t
concern,k@ns3n
concert,k@ns3t
concertina,kQns@tin@
conch,kQnJ
conciliate,k@nsIlI1t
concise,k@ns2s
conclave,kQNkl1v
conclude,k@nklud
concoct,k@nkQkt
concomitant,k@nkQmIt@nt
concord,kQNk$d
concordat,kQnk$d{t
concrete,kQNkrit
concubine,kQNkjUb2n
concupiscent,k@nkjupIs@nt
concur,k@nk3
concuss,k@nkVs
condemn,k@ndEm
condense,k@ndEns
condescend,kQndIsEnd
condign,k@nd2n
condiment,kQndIm@nt
condition,k@ndIS@n
condom,kQnd@m
condominium,kQnd@mIn7m
condone,k@nd5n
condor,kQnd$
conducive,k@ndjusIv
conduct,k@ndVkt
conduit,kQndIt
cone,k5n
confabulate,k@nf{bjUl1t
confection,k@nfEkS@n
confer,k@nf3
confess,k@nfEs
confetti,k@nfEtI
confide,k@nf2d
confine,k@nf2n
confirm,k@nf3m
confiscate,kQnfIsk1t
conflate,k@nfl1t
conflict,k@nflIkt
confluent,kQnfl9nt
confound,k@nf6nd
confront,k@nfrVnt
confuse,k@nfjuz
confute,k@nfjut
conga,kQNg@
congeal,k@n_il
conger,kQNg@
congest,k@n_Est
conglomerate,k@nglQm@r1t
congratulate,k@ngr{JUl1t
congregate,kQNgrIg1t
congress,kQNgrEs
congruent,kQNgr9nt
congruous,kQNgr9s
conifer,kQnIf@
conjecture,k@n_EkJ@
conjugal,kQn_Ug@l
conjugate,kQn_UgIt
conjunct,kQn_VNkt
conjunctiva,kQn_VNkt2v@
conjure,k@n_9
conk,kQNk
conker,kQNk@
connect,k@nEkt
connive,k@n2v
connote,k@n5t
connubial,k@njubj@l
conquer,kQNk@
conquest,kQNkwEst
conquistador,kQnkwIst@d$
conscience,kQnS@ns
conscious,kQnS@s
conscript,k@nskrIpt
consecrate,kQnsIkr1t
consecutive,k@nsEkjUtIv
consensus,k@nsEns@s
consent,k@nsEnt
conserve,k@ns3v
consider,k@nsId@
consign,k@ns2n
consistory,k@nsIst@rI
console,k@ns5l
consort,kQns$t
consortium,k@ns$tj@m
conspectus,k@nspEkt@s
conspicuous,k@nspIkj9s
conspire,k@nsp2@
constable,kVnst@b@l
constant,kQnst@nt
constellate,kQnstIl1t
consternate,kQnst@n1t
constipate,kQnstIp1t
constitute,kQnstItjut
constraint,k@nstr1nt
constrict,k@nstrIkt
construct,kQnstrVkt
construe,k@nstru
consul,kQns@l
consult,k@nsVlt
consume,k@nsjum
consummate,kQnsVmIt
contact,kQnt{kt
contagion,k@nt1_@n
contain,k@nt1n
contaminate,k@nt{mIn1t
contemn,k@ntEm
contemplate,kQntEmpl1t
contempt,k@ntEmpt
contend,k@ntEnd
content,k@ntEnt
conterminous,kQnt3mIn@s
contest,k@ntEst
contiguous,k@ntIgj9s
contingent,k@ntIn_@nt
continue,k@ntInju
continuo,k@ntInjU5
continuum,k@ntInj9m
contort,k@nt$t
contour,kQnt9
contract,k@ntr{kt
contradict,kQntr@dIkt
contraption,k@ntr{pS@n
contrapuntal,kQntr@pVnt@l
contrary,k@ntr8rI
contrast,k@ntr#st
contravene,kQntr@vin
contribute,k@ntrIbjut
contrite,kQntr2t
contrive,k@ntr2v
control,k@ntr5l
controvert,kQntr@v3t
contumacy,kQntjUm@sI
contumely,kQntjumlI
contuse,k@ntjuz
conundrum,k@nVndr@m
conurbation,kQn3b1S@n
convalesce,kQnv@lEs
convection,k@nvEkS@n
convector,k@nvEkt@
convene,k@nvin
convenient,k@nvinj@nt
convent,kQnv@nt
conventicle,k@nvEntIk@l
converse,k@nv3s
convert,k@nv3t
convex,kQnvEks
convey,k@nv1
convict,k@nvIkt
convince,k@nvIns
convivial,k@nvIv7l
convoke,k@nv5k
convolute,kQnv@lut
convolve,k@nvQlv
convolvulus,k@nvQlvjUl@s
convoy,kQnv4
convulse,k@nvVls
cony,k5nI
coo,ku
cook,kUk
cool,kul
coolie,kulI
coon,kun
coop,k5Qp
cooper,kup@
coot,kut
cop,kQp
cope,k5p
copeck,k5pEk
copious,k5pj@s
copper,kQp@
coppice,kQpIs
copra,kQpr@
copse,kQps
copt,kQpt
copula,kQpjUl@
copulate,kQpjUl1t
copy,kQpI
coquette,kQkEt
coracle,kQr@k@l
coral,kQr@l
corbel,k$b@l
cord,k$d
cordial,k$dj@l
cordon,k$d@n
corduroy,k$d@r4
core,k$
corgi,k$gI
coriander,kQrI{nd@
cork,k$k
corm,k$m
cormorant,k$m@r@nt
corn,k$n
cornea,k$n7
corner,k$n@
cornet,k$nIt
cornice,k$nIs
corolla,k@rQl@
corona,k@r5n@
coronary,kQr@n@rI
coroner,kQr@n@
coronet,kQr@nIt
corporal,k$p@r@l
corporate,k$p@r@t
corporeal,k$p$r7l
corps,k$
corpse,k$ps
corpulent,k$pjUl@nt
corpus,k$p@s
corpuscle,k$pVs@l
corral,k@r#l
correct,k@rEkt
corridor,kQrId$
corrie,kQrI
corrigendum,kQrI_End@m
corroborate,k@rQb@r1t
corroboree,k@rQb@rI
corrode,k@r5d
corrugate,kQr@g1t
corrupt,k@rVpt
corsage,k$s#Z
corsair,k$s8
corse,k$s
corselet,k$slIt
corset,k$sIt
cortex,k$tEks
cortisone,k$tIz5n
corundum,k@rVnd@m
coruscate,kQr@sk1t
corvee,k$v1
corvette,k$vEt
cos,k5z
cosh,kQS
cosmetic,kQzmEtIk
cosmopolite,kQzmQp@l2t
cosmos,kQzmQs
cosset,kQsIt
cost,kQst
costard,kVst@d
costive,kQstIv
costume,kQstjUm
cosy,k5zI
cot,kQt
cote,k5t
coterie,k5t@rI
coterminous,k5t3mIn@s
cotilion,k@tIlj@n
cotillion,k@tIlj@n
cotton,kQt@n
cotyledon,kQtIlid@n
couch,k6J
cougar,kug@
cough,kQf
coulter,k5lt@
council,k6ns@l
counsel,k6ns@l
count,k6nt
countenance,k6nt@n@ns
counterfeit,k6nt@fIt
countermand,k6nt@m#nd
country,kVntri
coup,ku
coupe,kup
couple,kVp@l
coupon,kupQn
courage,kVrI_
courgette,k$ZEt
courier,kUr7
course,k$s
court,k$t
couscous,kuskus
cousin,kVz@n
couth,kuT
couture,kut9
cove,k5v
coven,kVv@n
covenant,kVv@n@nt
cover,kVv@
covert,kVv@t
covet,kVvIt
covey,kVvI
cow,k6
coward,k6@d
cower,k6@
cowl,k6l
cowrie,k6rI
cox,kQks
coxswain,kQksw1n
coy,k4
coyote,k45tI
coypu,k4pu
crab,kr{b
crack,kr{k
cradle,kr1d@l
craft,kr#ft
crag,kr{g
crake,kr1k
cram,kr{m
cramp,kr{mp
crampon,kr{mpQn
crane,kr1n
cranium,kr1nj@m
crank,kr{Nk
cranny,kr{nI
crap,kr{p
crape,kr1p
crash,kr{S
crass,kr{s
crate,kr1t
crater,kr1t@
cravat,kr@v{t
crave,kr1v
craven,kr1v@n
crawl,kr$l
crayon,kr1@n
craze,kr1z
creak,krik
cream,krim
crease,kris
create,kri1t
credence,krid@ns
credible,krEd@b@l
credit,krEdIt
credo,krid5
credulous,krEdjUl@s
creed,krid
creek,krik
creel,kril
creep,krip
cremate,krIm1t
crenellate,krEn@l1t
creole,kri5l
creosote,kr7s5t
crepe,kr1p
crepitate,krEpIt1t
crescent,krEs@nt
cress,krEs
crest,krEst
cretaceous,krIt1S@s
cretin,krEtIn
cretonne,krEtQn
crevasse,krIv{s
crevice,krEvIs
crew,kru
crib,krIb
crick,krIk
cricket,krIkIt
crime,kr2m
crimp,krImp
crimson,krImz@n
cringe,krIn_
crinkle,krINk@l
crinoid,kr2n4d
crinoline,krIn@lIn
cripple,krIp@l
crisis,kr2sIs
crisp,krIsp
criterion,kr2t7r7n
critic,krItIk
critter,krIt@
croak,kr5k
crochet,kr5S1
crock,krQk
crocodile,krQk@d2l
crocus,kr5k@s
croft,krQft
cromlech,krQmlEk
crone,kr5n
crony,kr5nI
crook,krUk
croon,krun
crop,krQp
croquette,krQkEt
crore,kr$
cross,krQs
crosse,krQs
crotch,krQJ
crotchet,krQtSIt
crouch,kr6J
croup,krup
croupier,krup7
crow,kr5
crowd,kr6d
crown,kr6n
crucible,krusIb@l
crucifix,krusIfIks
crucify,krusIf2
crude,krud
cruel,kr9l
cruet,kruIt
cruise,kruz
crumb,krVm
crumble,krVmb@l
crummy,krVmI
crumpet,krVmpIt
crumple,krVmp@l
crunch,krVnJ
crupper,krVp@
crusade,krus1d
cruse,kruz
crush,krVS
crust,krVst
crustacean,krVst1S@n
crutch,krVJ
crux,krVks
cry,kr2
crypt,krIpt
crystal,krIst@l
cub,kVb
cube,kjub
cubicle,kjubIk@l
cubit,kjubIt
cuckold,kVk5ld
cuckoo,kUku
cucumber,kjukVmb@
cud,kVd
cuddle,kVd@l
cudgel,kV_@l
cue,kju
cuff,kVf
cuirass,kwIr{s
cuisine,kwIzin
culinary,kVlIn@rI
cull,kVl
cullender,kVlInd@
culpable,kVlp@b@l
culprit,kVlprIt
cult,kVlt
cultivate,kVltIv1t
culture,kVlJ@
culvert,kVlv@t
cumber,kVmb@
cumin,kVmIn
cumulation,kjumjUl1S@n
cumulus,kjumjUl@s
cunnilinctus,kVnIlINkt@s
cunnilingus,kVnIlINg@s
cunning,kVnIN
cunt,kVnt
cup,kVp
cupid,kjupId
cupola,kjup@l@
cupric,kjuprIk
cur,k3
curacao,kj9r@s5
curacoa,kj5r@s5@
curate,kj9r@t
curb,k3b
curd,k3d
curdle,k3d@l
cure,kj9r1
curette,kj9rEt
curfew,k3fju
curia,kj9r7
curio,kj9rI5
curious,kj9r7s
curl,k3l
curlew,k3lju
curmudgeon,k3mV_@n
currant,kVr@nt
current,kVr@nt
curriculum,k@rIkj@l@m
curry,kVrI
curse,k3s
cursive,k3sIv
cursory,k3s@rI
curt,k3t
curtail,k3t1l
curtain,k3t@n
curtsy,k3tsI
curve,k3v
cushion,kUS@n
cushy,kUSI
cusp,kVsp
cuspidor,kVspId$
cuss,kVs
custard,kVst@d
custody,kVst@dI
custom,kVst@m
customer,kVst@m@
cut,kVt
cutaneous,kjut1nj@s
cute,kjut
cuticle,kjutIk@l
cutlass,kVtl@s
cutler,kVtl@
cutlet,kVtlIt
cuttle,kVt@l
cyanide,s2@n2d
cybernetic,s2b@nEtIk
cyclamate,s2kl@m1t
cyclamen,sIkl@m@n
cycle,s2k@l
cyclone,s2kl5n
cyclopaedia,s2kl5pidj@
cygnet,sIgnIt
cylinder,sIlInd@
cymbal,sImb@l
cynic,sInIk
cynosure,sIn@zj9
cypress,s2pr@s
cyst,sIst
czar,z#
czarina,z#rin@
dab,d{b
dace,d1s
dacha,d{J@
dachshund,d{kshUnd
dacoit,d@k4t
dactyl,d{ktIl
dad,d{d
dado,d1d5
daemon,dim@n
daffodil,d{f@dIl
daft,d#ft
dagger,d{g@
dago,d1g5
dainty,d1ntI
daiquiri,d2kIrI
dairy,d8rI
dais,d1Is
daisy,d1zI
dale,d1l
dally,d{lI
dam,d{m
damage,d{mI_
damascene,d{m@sin
damask,d{m@sk
dame,d1m
damn,d{m
damp,d{mp
damsel,d{mz@l
damson,d{mz@n
dance,d#ns
dandelion,d{ndIl2@n
dander,d{nd@
dandle,d{nd@l
dandruff,d{ndrVf
dandy,d{ndI
danger,d1n_@
dangle,d{Ng@l
dank,d{Nk
daphne,d{fnI
dapper,d{p@
dapple,d{p@l
dare,d8
dark,d#k
darn,d#n
dart,d#t
dash,d{S
data,d1t@
date,d1t
dative,d1tIv
datum,d1t@m
daub,d$b
daughter,d$t@
daunt,d$nt
dauphin,d$fIn
davit,d{vIt
dawdle,d$d@l
dawn,d$n
day,d1
daze,d1z
dazzle,d{z@l
deacon,dik@n
dead,dEd
deaf,dEf
deal,dil
dean,din
dear,d7
dearth,d3T
deb,dEb
debag,dib{g
debate,dIb1t
debauch,dIb$J
debenture,dIbEnJ@
debilitate,dIbIlIt1t
debility,dIbIl@tI
debit,dEbIt
debonair,dEb@n8
debouch,dIb6J
debt,dEt
debut,d1bju
decade,dEk1d
decadent,dEk@d@nt
decant,dIk{nt
decathlon,dIk{TlQN
decay,dIk1
decease,dIsis
deceit,dIsit
deceive,dIsiv
december,dIsEmb@
decent,dis@nt
decibel,dEsIbEl
decide,dIs2d
deciduous,dIsIdj9s
decimal,dEsIm@l
decimate,dEsIm1t
deck,dEk
deckle,dEk@l
declare,dIkl8
decline,dIkl2n
declivity,dIklIv@tI
decoction,dIkQkS@n
decor,d1k$
decorate,dEk@r1t
decorum,dIk$r@m
decoy,dIk4
decrease,dikris
decree,dIkri
decrepit,dIkrEpIt
dedicate,dEdIk1t
deduce,dIdjus
deduct,dIdVkt
deed,did
deem,dim
deep,dip
deer,d7
defalcate,dif{lk1t
defeat,dIfit
defecate,dEf@k1t
defect,dIfEkt
defend,dIfEnd
defer,dIf3
deficient,dIfIS@nt
deficit,dEfIsIt
defile,dIf2l
define,dIf2n
deflect,dIflEkt
defray,dIfr1
deft,dEft
defunct,dIfVNkt
defy,dIf2
degauss,dig6s
degree,dIgri
deify,diIf2
deign,d1n
